ShipmentID,TrackingNum,Carrier
SH0001,e87da28b-cf9b-4392-9042-ccb4c78eba84,OnTrac
SH0002,d3a2c302-2512-46af-8179-74dc9b425056,OnTrac
SH0003,1f805997-25f0-4d7d-bfb8-67409dfb5bbc,UPS
SH0004,ec6033db-189a-44ef-9922-e99ec5ace558,OnTrac
SH0005,83afddba-1063-4183-884c-a0b025194c46,OnTrac
SH0006,a1fdbf3b-3e25-4c5f-a2d8-81c7f5002420,FedEx
SH0007,a0d5fb07-5f3d-494e-9837-aabe8b101784,OnTrac
SH0008,2af33bfb-c67f-4d1a-8183-1976ee235194,OnTrac
SH0009,86586b14-ba76-47b5-83f7-275f56981834,FedEx
SH0010,d628491a-fe98-4f4a-bb0f-59571ed1f5bf,OnTrac
SH0011,289394c3-86b0-4524-8459-96aec08ac40e,OnTrac
SH0012,96849ed0-30ec-4012-81be-4b6ad0d47cf7,OnTrac
SH0013,e0ab829c-c30d-4d99-a907-392f4b18a372,FedEx
SH0014,c809de43-ea7d-44b3-a862-7d512c685ad6,Amazon Logistics
SH0015,cb26002c-4432-43ba-afe7-333fe574675e,USPS
SH0016,71d0ba48-0525-4156-8f03-41d0fce9a5cb,UPS
SH0017,4966ea05-16ff-431f-8d42-98caf669c0d6,Amazon Logistics
SH0018,3e9df06b-05a0-4cb4-a376-c60692c44da1,UPS
SH0019,70338627-8c08-4576-9b9a-c7d817ab4b68,UPS
SH0020,10c7bd91-6f72-462e-8254-dc3488230339,USPS
SH0021,67c16095-1ba8-4d4e-8556-ef010f29d01a,OnTrac
SH0022,7bcfb6c3-6055-4ca7-9082-aa6251754ebe,USPS
SH0023,4dd01207-c6e4-4c29-b649-3c4a964e140f,FedEx
SH0024,97b942c2-d0e0-485e-8cc3-50eb1ab91b5f,UPS
SH0025,e390a4ba-2f90-4729-b9a4-564be69a930a,UPS
SH0026,ccb80101-25c9-454f-bdfd-ad95713f8271,UPS
SH0027,b0d7ed11-8d06-4a2f-a9c4-3d220592f780,USPS
SH0028,b0bc8a3a-cf10-4be4-984d-84de8af818a1,Amazon Logistics
SH0029,2c36a12c-f6af-46e7-b9f2-6fc15934d32b,Amazon Logistics
SH0030,392e6037-be95-49e2-84e1-1c48d6c6cbf7,UPS
SH0031,76fb61a5-9afe-4ab5-b93c-915cb83bacaf,OnTrac
SH0032,5fa6153d-400d-468e-aea8-a3180efaf42d,UPS
SH0033,79d6b3b6-3319-4a82-b740-f2ace9afa382,FedEx
SH0034,2230e6e2-076c-4d14-b327-76e1fb39eec6,Amazon Logistics
SH0035,0685e315-5516-4991-908e-e24af208a1da,FedEx
SH0036,6c0162c6-0660-43fd-b778-e5c7d09351b2,Amazon Logistics
SH0037,9f12950c-09a8-4d66-b32c-1b1afbe065dd,Amazon Logistics
