SupplierID,SupplierName,SupplierEmail,SupplierPhone,ProductID
SU0001,Pet Essentials Co.,info@petessentials.com,555-123-4567,PD0001
SU0002,Happy Pets Ltd.,contact@happypets.com,555-234-5678,PD0002
SU0003,Organic Pet Foods Inc.,sales@organicpetfoods.com,555-345-6789,PD0003
SU0004,Pet Paradise,support@petparadise.com,555-456-7890,PD0004
SU0005,Pet Supplies World,hello@petsuppliesworld.com,555-567-8901,PD0005
SU0006,Premium Pet Products,orders@premiumpet.com,555-678-9012,PD0006
SU0007,Pet Planet,service@petplanet.com,555-789-0123,PD0007
SU0008,Critter Care Co.,sales@crittercare.com,555-890-1234,PD0008
SU0009,Pawsome Suppliers,info@pawsome.com,555-901-2345,PD0009
SU0010,Pet Depot,support@petdepot.com,555-012-3456,PD0010
SU0001,Pet Essentials Co.,info@petessentials.com,555-123-4567,PD0011
SU0002,Happy Pets Ltd.,contact@happypets.com,555-234-5678,PD0012
SU0003,Organic Pet Foods Inc.,sales@organicpetfoods.com,555-345-6789,PD0013
SU0004,Pet Paradise,support@petparadise.com,555-456-7890,PD0014
SU0005,Pet Supplies World,hello@petsuppliesworld.com,555-567-8901,PD0015
SU0006,Premium Pet Products,orders@premiumpet.com,555-678-9012,PD0016
SU0007,Pet Planet,service@petplanet.com,555-789-0123,PD0017
SU0008,Critter Care Co.,sales@crittercare.com,555-890-1234,PD0018
SU0009,Pawsome Suppliers,info@pawsome.com,555-901-2345,PD0019
SU0010,Pet Depot,support@petdepot.com,555-012-3456,PD0020
SU0001,Pet Essentials Co.,info@petessentials.com,555-123-4567,PD0021
SU0002,Happy Pets Ltd.,contact@happypets.com,555-234-5678,PD0022
SU0003,Organic Pet Foods Inc.,sales@organicpetfoods.com,555-345-6789,PD0023
SU0004,Pet Paradise,support@petparadise.com,555-456-7890,PD0024
SU0005,Pet Supplies World,hello@petsuppliesworld.com,555-567-8901,PD0025
