TransactionID,PaymentMethod,Datetime,Amount,Status,CustomerID
TR0001,Bank Transfer,2023/9/16,408.66,Finished,CID1242
TR0002,Bank Transfer,2023/9/3,111.76,Finished,CID1212
TR0003,Bank Transfer,2023/10/12,376.54,Declined,CID1158
TR0004,Bank Transfer,2023/4/15,444.53,Declined,CID1362
TR0005,Bank Transfer,2022/11/3,324,Declined,CID1443
TR0006,Bank Transfer,2023/1/29,49.81,Finished,CID1591
TR0007,Bank Transfer,2023/6/2,452.63,Declined,CID1342
TR0008,Bank Transfer,2022/3/21,30.18,Finished,CID1897
TR0009,Apple Pay,2023/8/4,59.82,Declined,CID1744
TR0010,Apple Pay,2023/12/11,305.44,Finished,CID1809
TR0011,Apple Pay,2023/5/31,309.97,Finished,CID1600
TR0012,Credit Card,2022/8/27,216.01,Finished,CID1239
TR0013,Bank Transfer,2022/9/27,406.1,Finished,CID1622
TR0014,Bank Transfer,2023/11/19,378.2,Finished,CID1767
TR0015,Bank Transfer,2022/2/21,374.02,Declined,CID1723
TR0016,Apple Pay,2023/1/21,333.18,Finished,CID1764
TR0017,Apple Pay,2023/7/25,171.8,Declined,CID1765
TR0018,Apple Pay,2022/6/18,236.45,Declined,CID1108
TR0019,Apple Pay,2022/4/22,100.89,Finished,CID1761
TR0020,Bank Transfer,2022/6/15,119.11,Finished,CID1308
TR0021,Credit Card,2023/2/10,198.98,Declined,CID1509
TR0022,Apple Pay,2022/6/28,472.47,Finished,CID1032
TR0023,Apple Pay,2022/9/27,294.75,Finished,CID1312
TR0024,Apple Pay,2022/9/20,180.54,Finished,CID1514
TR0025,Bank Transfer,2023/8/25,134.65,Declined,CID1386
TR0026,Apple Pay,2022/11/10,344.62,Finished,CID1048
TR0027,Apple Pay,2022/7/28,19.7,Finished,CID1601
TR0028,Apple Pay,2023/5/14,442.24,Finished,CID1731
TR0029,Bank Transfer,2022/3/6,357.58,Finished,CID1348
TR0030,Bank Transfer,2023/1/15,75.11,Declined,CID1329
TR0031,Credit Card,2022/6/15,272.75,Declined,CID1334
TR0032,Bank Transfer,2023/7/12,346.81,Finished,CID1700
TR0033,Apple Pay,2023/12/13,84.96,Finished,CID1147
TR0034,Bank Transfer,2023/8/2,292.05,Finished,CID1417
TR0035,Apple Pay,2023/7/25,149.14,Finished,CID1706
TR0036,Bank Transfer,2023/7/29,354.16,Declined,CID1228
TR0037,Apple Pay,2023/8/10,75.46,Finished,CID1702
TR0038,Bank Transfer,2022/11/5,494.69,Declined,CID1542
TR0039,Bank Transfer,2023/3/1,349.33,Declined,CID1303
TR0040,Credit Card,2022/8/7,310.28,Finished,CID1887
TR0041,Bank Transfer,2023/10/9,322.64,Declined,CID1163
TR0042,Credit Card,2022/1/10,453.2,Finished,CID1498
TR0043,Credit Card,2023/4/24,24.05,Finished,CID1315
TR0044,Apple Pay,2022/11/4,91.78,Declined,CID1652
TR0045,Credit Card,2022/4/7,285.83,Finished,CID1202
TR0046,Bank Transfer,2022/5/7,195.05,Finished,CID1022
TR0047,Bank Transfer,2022/12/29,79.37,Finished,CID1188
TR0048,Apple Pay,2022/11/22,411.45,Finished,CID1819
TR0049,Apple Pay,2022/2/17,107.64,Declined,CID1757
