InventoryID,MaxCapacity,UnitCost,CurrInventory
INV1000,365,124.4,272
INV1001,230,259.6,156
INV1002,496,294.45,177
INV1003,154,254.43,9
INV1004,454,157.03,318
INV1005,479,199.13,375
INV1006,460,32.04,265
INV1007,469,91.84,116
INV1008,133,487.39,21
INV1009,338,494.96,301
INV1010,454,388.53,100
INV1011,139,354.95,336
INV1012,251,110.69,338
INV1013,158,493.26,476
INV1014,464,276.03,280
INV1015,351,451.2,428
INV1016,400,252.83,59
INV1017,425,463.67,244
INV1018,249,345.33,227
INV1019,195,251.58,462
INV1020,463,321.13,430
INV1021,240,469.45,488
INV1022,293,176.09,227
INV1023,171,33.89,17
INV1024,327,304.22,78
INV1025,470,79.64,210
INV1026,137,147.18,380
INV1027,217,402.36,152
INV1028,283,470.63,398
INV1029,374,357.12,87
INV1030,236,226.22,464
INV1031,400,274.47,71
INV1032,223,433.32,200
INV1033,139,258.07,256
INV1034,203,60.46,208
INV1035,122,368.12,38
INV1036,336,137.93,172
INV1037,388,276.27,198
INV1038,118,26.1,497
INV1039,451,484.43,232
INV1040,419,312.35,446
INV1041,410,460.04,92
INV1042,387,42.23,93
INV1043,139,416.74,10
INV1044,306,486.73,184
INV1045,410,198.83,366
INV1046,373,10.25,102
INV1047,369,481.37,193
INV1048,123,189.52,2
INV1049,458,458.83,349
INV1050,325,23.33,260
INV1051,135,464.01,372
INV1052,246,196.23,350
INV1053,274,410.54,88
INV1054,244,483.23,325
INV1055,423,116.8,401
INV1056,208,275.63,449
INV1057,319,356.21,479
INV1058,289,113.73,365
INV1059,336,284.24,219
INV1060,386,186.35,159
INV1061,241,417.97,452
INV1062,271,99.3,267
INV1063,329,22.31,90
INV1064,210,104.68,100
INV1065,420,97.49,490
INV1066,101,475.4,61
INV1067,257,265.28,277
INV1068,130,179.03,368
INV1069,306,451.18,129
INV1070,363,12.45,414
INV1071,170,136.4,363
INV1072,322,245.25,287
INV1073,137,232.38,247
INV1074,291,367.55,21
INV1075,188,33.65,59
INV1076,292,303.9,7
INV1077,113,261.71,416
INV1078,119,466.25,314
INV1079,354,460.9,328
INV1080,439,468.2,234
INV1081,175,117.98,298
INV1082,242,185.83,175
INV1083,346,315.28,295
INV1084,172,492.54,238
INV1085,290,150.21,71
INV1086,112,146.86,190
INV1087,259,421.54,332
INV1088,473,468.42,102
INV1089,402,101.96,280
INV1090,211,143.31,167
INV1091,312,168.96,263
INV1092,156,328.31,465
INV1093,483,327.41,3
INV1094,365,392.32,185
INV1095,376,293.7,57
INV1096,413,398.77,458
INV1097,469,378.62,266
INV1098,107,74.58,177
INV1099,119,45.48,263
INV1100,239,466.52,345
INV1101,388,161.43,233
INV1102,121,288.24,364
INV1103,111,65.37,479
INV1104,331,425.36,182
INV1105,219,319.8,53
INV1106,436,429.5,189
INV1107,442,78.65,370
INV1108,204,17.66,371
INV1109,236,214.37,301
INV1110,433,232.68,317
INV1111,101,481.14,265
INV1112,390,365.55,107
INV1113,166,153.81,354
INV1114,131,41.04,445
INV1115,440,34.77,72
INV1116,478,455.6,500
INV1117,442,99.36,152
INV1118,143,192.26,479
INV1119,227,61.07,98
INV1120,141,304.72,243
INV1121,355,171.68,366
INV1122,284,155.52,315
INV1123,439,83.77,168
INV1124,234,208.56,293
INV1125,227,83.1,333
INV1126,251,354.85,407
INV1127,465,407.51,447
INV1128,199,227.43,256
INV1129,298,277.92,439
INV1130,126,272.76,42
INV1131,464,292.6,310
INV1132,126,435.15,159
INV1133,395,203.72,202
INV1134,310,160.33,267
INV1135,186,495.34,74
INV1136,115,278.74,259
INV1137,199,165.55,488
INV1138,293,127.76,104
INV1139,257,315.57,216
INV1140,425,160.27,44
INV1141,350,202.09,226
INV1142,445,223.41,278
INV1143,444,206.79,152
INV1144,234,63.23,375
INV1145,233,23.54,372
INV1146,195,15.26,68
INV1147,409,461.41,20
INV1148,434,120.35,279
INV1149,378,317.35,232
INV1150,476,369.47,118
INV1151,259,12.92,362
INV1152,197,183.72,466
INV1153,273,166.32,136
INV1154,434,79.37,365
INV1155,441,163.66,377
INV1156,468,224.36,108
INV1157,250,283.36,445
INV1158,279,81.3,107
INV1159,346,371.5,156
INV1160,454,350.72,163
INV1161,243,144.26,445
INV1162,140,159.77,408
INV1163,158,64.79,144
INV1164,311,277.07,42
INV1165,480,410.21,238
INV1166,489,373.28,77
INV1167,260,181.83,475
INV1168,419,361.94,450
INV1169,318,80.18,127
INV1170,421,450.7,437
INV1171,410,91.39,308
INV1172,242,419.18,400
INV1173,169,337.61,192
INV1174,405,275.31,184
INV1175,226,484.08,127
INV1176,161,105.9,34
INV1177,412,411.98,244
INV1178,126,266.62,254
INV1179,208,119.02,286
INV1180,365,463.03,230
INV1181,244,154.06,426
INV1182,263,225.66,233
INV1183,191,342.47,239
INV1184,159,468.56,351
INV1185,497,75.24,411
INV1186,464,265.24,201
INV1187,471,292.13,447
INV1188,179,91.01,125
INV1189,211,129.6,435
INV1190,304,314.14,190
INV1191,484,41.79,140
INV1192,279,101.19,133
INV1193,172,423.54,189
INV1194,224,270.83,185
INV1195,222,130.73,139
INV1196,239,202.66,85
INV1197,271,190.72,309
INV1198,456,270.95,91
INV1199,103,278.58,432
INV1200,188,373.48,118
INV1201,443,459.99,179
INV1202,179,268.68,312
INV1203,332,92.24,146
INV1204,237,438.32,304
INV1205,119,254.95,401
INV1206,125,90.08,402
INV1207,123,54.75,232
INV1208,175,488.13,221
INV1209,256,464.33,430
INV1210,139,393.2,103
INV1211,212,342.87,175
INV1212,221,475.43,281
INV1213,262,15.56,254
INV1214,281,274.14,343
INV1215,455,28.97,202
INV1216,386,332.7,32
INV1217,247,464.02,373
INV1218,113,362.7,6
INV1219,213,315.9,264
INV1220,208,102.92,428
INV1221,449,476.4,198
INV1222,160,268.91,19
INV1223,351,296,54
INV1224,493,494.03,338
INV1225,117,224.26,334
INV1226,443,249.9,446
INV1227,301,326.55,447
INV1228,144,351.36,45
INV1229,207,461.51,239
INV1230,321,56.81,84
INV1231,112,421.29,402
INV1232,332,22.61,84
INV1233,283,186.26,284
INV1234,248,93.79,139
INV1235,443,23.52,165
INV1236,304,45.86,471
INV1237,252,379.83,423
INV1238,401,316.74,137
INV1239,120,52.17,114
INV1240,134,288.63,171
INV1241,103,47.02,113
INV1242,419,302.98,60
INV1243,198,262.86,338
INV1244,204,476.96,354
INV1245,465,306.52,482
INV1246,285,311.44,81
INV1247,104,271.98,192
INV1248,107,252.67,59
INV1249,221,26.88,453
INV1250,216,252.14,174
INV1251,405,11.78,110
INV1252,194,430.93,469
INV1253,444,152.95,367
INV1254,150,84.96,290
INV1255,183,214.19,463
INV1256,207,410.35,194
INV1257,412,498.3,213
INV1258,290,189.1,393
INV1259,310,70.07,203
INV1260,236,256.5,145
INV1261,222,162.09,30
INV1262,171,241.15,10
INV1263,116,427.33,289
INV1264,114,192.84,79
INV1265,208,355.08,484
INV1266,412,80.47,500
INV1267,274,283.09,77
INV1268,384,81.05,410
INV1269,288,149.08,220
INV1270,386,421.42,62
INV1271,103,27.5,481
INV1272,158,124.26,3
INV1273,260,19.97,290
INV1274,205,265.9,298
INV1275,439,156.14,7
INV1276,168,186.97,318
INV1277,462,323.56,244
INV1278,121,156.39,76
INV1279,302,390.4,135
INV1280,475,21.78,497
INV1281,453,483.31,151
INV1282,287,496.43,406
INV1283,260,441.48,64
INV1284,280,106.54,170
INV1285,291,442.51,369
INV1286,490,100.66,470
INV1287,424,471.96,326
INV1288,352,417.52,169
INV1289,457,44.78,241
INV1290,259,280.65,382
INV1291,309,73.64,3
INV1292,399,200.91,31
INV1293,284,176.31,346
INV1294,220,230.23,249
INV1295,230,318.32,8
INV1296,120,100.43,462
INV1297,155,425.3,338
INV1298,196,272.77,201
INV1299,460,59.44,374
INV1300,253,352.1,455
INV1301,201,221.53,188
INV1302,268,331.86,61
INV1303,139,10.47,117
INV1304,170,199.95,294
INV1305,350,355.7,244
INV1306,274,253.03,100
INV1307,463,414.16,432
INV1308,195,372.04,1
INV1309,477,350.85,193
INV1310,251,148.27,389
INV1311,465,415.29,254
INV1312,461,412.55,436
INV1313,456,27.55,110
INV1314,359,108.71,289
INV1315,425,319.64,101
INV1316,174,497.57,132
INV1317,140,414.56,170
INV1318,334,479.49,420
INV1319,151,312.98,133
INV1320,257,40.35,376
INV1321,295,132.35,415
INV1322,270,454.57,302
INV1323,381,482.46,217
INV1324,318,444.22,438
INV1325,279,413.31,201
INV1326,268,277.99,64
INV1327,446,273.65,60
